FUNCTION_ID,FUNCTION_NAME,FUNCTION_TYPE,PATHWAY_TYPE,REACTOME,PUBCHEM_PATHWAY_ID,PATHBANK,PANTHER,BIOCYC,WIKIPATHWAYS,SMPDB,PATHWAY_INTERACTION_DATABASE,PLANT_REACTOME,PLANTCYC,PATHWAY_COMMON,PANTHER_PATHWAY,CHEMFONT,PHARMGKB,LIPID_MAPS,BIOCARTA,NETPATH
1290,elongation factor,biological_process,biological_process,,,,,,,,,,,,,PTW_0000818,,,,
1317,endothelial differentiation,biological_process,biological_process,,,,,,,,,,,Pathway_8ecca05be71c425a3c6ebf2ed4bc397c,,,,,,
1322,endothelins,biological_process,biological_process,,40544,,,,,,endothelinpathway,,,Pathway_875a0947d2120f29586c1fffe9081242,,,,,,
1330,enhancer,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1331,enos activation,biological_process,biological_process,R-GGA-203615| R-HSA-203615,11024| 1181334| 1181753| 1182465| 13328| 15932| 1603| 17898| 19029| 21692| 22378| 4983| 6217| 7039| 8827| 9244,,,,,,,,,,,,,,,
1335,enterocyte,biological_process,biological_process,,40238,,,,,,Enterocyte,,,Pathway_b6d98658e135267f991fb5b0977a65a0,,,,,,
1338,enzymatic activity,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1341,enzyme activity,molecular_function,Unknown,,,,,,,,,,,,,,,,,
1344,enzyme induction,biological_process,biological_process,,,,,,,,,,,,,PTW_0111129,,,,
1349,eosinophil,biological_process,biological_process,,40925,,,,,,Eosinophil,,,Pathway_02ed35b58a833754193e7b837d2277a7,,,,,,
1360,epigenetic regulation of gene expression,biological_process,biological_process,R-GGA-212165| R-HSA-212165,1018| 12573| 1360938| 13870| 14943| 16480| 17487| 18435| 19268| 21461| 22130| 3530| 4810| 5691| 584| 7420| 8515| 9510,,,,,,,,,,,,,,,
1378,erk activation,biological_process,biological_process,R-GGA-451478,9612,,,,,,,,,,,,,,,
1381,erk2 activation,biological_process,biological_process,R-GGA-451533,9613,,,,,,,,,,,,,,,
1382,erosion,biological_process,biological_process,,,,,,,,,,,,,PTW_0181183,,,,
1393,estrogen biosynthesis,biological_process,biological_process,R-GGA-193144| R-HSA-193144,10981| 1181329| 119| 13286| 1360908| 14739| 1561| 15891| 17872| 18644| 18987| 21653| 22337| 4941| 6175| 7003| 8797| 9205,,,,,,,,,,,,,,,
1400,estrogen signaling,biological_process,biological_process,,38589| 39031| 40137,,,,WP1330,,,,,,,,,,,
1409,eukaryotic translation elongation,biological_process,biological_process,R-BTA-156842| R-HSA-156842,10248| 11874| 14221| 15079| 15551| 16272| 18107| 18454| 20362| 20858| 23439| 2790| 3976| 413| 6470| 6820| 7788| 816,,,,,,,,,,,,,,,
